seqnames	start	end	width	strand	score	group_name	feature	gene_name	motif_nm	tf_symbol	description	species
chr22	50683892	50683902	11	+	10.2175798582828	MA0025.1	intron	SHANK3	NFIL3	NFIL3	nuclear factor,interleukin 3 regulated	Homo sapiens
chr22	50701490	50701500	11	+	13.6555308958786	MA0025.1	intron	SHANK3	NFIL3	NFIL3	nuclear factor,interleukin 3 regulated	Homo sapiens
chr22	50733186	50733196	11	+	12.9861787546454	MA0025.1	exon	SHANK3	NFIL3	NFIL3	nuclear factor,interleukin 3 regulated	Homo sapiens
chr22	50733186	50733196	11	+	12.9861787546454	MA0025.1	exon	SHANK3	NFIL3	NFIL3	nuclear factor,interleukin 3 regulated	Homo sapiens
chr22	50733186	50733196	11	+	12.9861787546454	MA0025.1	UTR	SHANK3	NFIL3	NFIL3	nuclear factor,interleukin 3 regulated	Homo sapiens
chr22	50695871	50695884	14	+	9.34591971732412	MA0030.1	intron	SHANK3	FOXF2	FOXF2	forkhead box F2	Homo sapiens
chr22	50708435	50708448	14	+	8.15446030479809	MA0030.1	intron	SHANK3	FOXF2	FOXF2	forkhead box F2	Homo sapiens
chr22	50718113	50718126	14	+	9.68267447794732	MA0030.1	intron	SHANK3	FOXF2	FOXF2	forkhead box F2	Homo sapiens
chr22	50723993	50724006	14	+	8.1302839299984	MA0030.1	intron	SHANK3	FOXF2	FOXF2	forkhead box F2	Homo sapiens
chr22	50727662	50727675	14	+	7.32998087166581	MA0030.1	intron	SHANK3	FOXF2	FOXF2	forkhead box F2	Homo sapiens
chr22	50723937	50723954	18	+	8.05665160679098	MA0051.1	intron	SHANK3	IRF2	IRF2	interferon regulatory factor 2	Homo sapiens
chr22	50676293	50676302	10	+	12.4604779013675	MA0057.1	intron	SHANK3	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
chr22	50683658	50683667	10	+	12.2189997136886	MA0057.1	intron	SHANK3	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
chr22	50683799	50683808	10	+	12.4604779013675	MA0057.1	intron	SHANK3	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
chr22	50683812	50683821	10	+	13.403094931939	MA0057.1	intron	SHANK3	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
chr22	50691178	50691187	10	+	12.5483073389416	MA0057.1	intron	SHANK3	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
