seqnames	start	end	width	strand	feature	gene_name
chr22	50672415	50674914	2500	+	promoter	SHANK3
chr22	50674415	50674704	290	+	exon	SHANK3
chr22	50675048	50675251	204	+	exon	SHANK3
chr22	50676622	50676693	72	+	exon	SHANK3
chr22	50678585	50678693	109	+	exon	SHANK3
chr22	50678769	50678920	152	+	exon	SHANK3
chr22	50679019	50679186	168	+	exon	SHANK3
chr22	50679312	50679428	117	+	exon	SHANK3
chr22	50683340	50683417	78	+	exon	SHANK3
chr22	50684585	50684651	67	+	exon	SHANK3
chr22	50694775	50695048	274	+	exon	SHANK3
chr22	50697564	50697715	152	+	exon	SHANK3
chr22	50698690	50698803	114	+	exon	SHANK3
chr22	50703860	50703935	76	+	exon	SHANK3
chr22	50704166	50704248	83	+	exon	SHANK3
chr22	50704738	50704862	125	+	exon	SHANK3
chr22	50704964	50705096	133	+	exon	SHANK3
chr22	50705496	50706152	657	+	exon	SHANK3
chr22	50705496	50705899	404	+	UTR	SHANK3
chr22	50706072	50706152	81	+	exon	SHANK3
chr22	50711615	50711638	24	+	exon	SHANK3
chr22	50711615	50711638	24	+	exon	SHANK3
chr22	50714917	50715047	131	+	exon	SHANK3
chr22	50714917	50715047	131	+	exon	SHANK3
chr22	50715669	50715753	85	+	exon	SHANK3
chr22	50715669	50715753	85	+	exon	SHANK3
chr22	50720184	50722437	2254	+	exon	SHANK3
chr22	50720184	50722437	2254	+	exon	SHANK3
chr22	50724127	50724153	27	+	exon	SHANK3
chr22	50724127	50724153	27	+	exon	SHANK3
chr22	50729572	50729707	136	+	exon	SHANK3
chr22	50729572	50729660	89	+	UTR	SHANK3
chr22	50730721	50733298	2578	+	exon	SHANK3
chr22	50730721	50733298	2578	+	exon	SHANK3
chr22	50730721	50731518	798	+	exon	SHANK3
chr22	50731310	50733298	1989	+	UTR	SHANK3
chr22	50731310	50731518	209	+	UTR	SHANK3
chr22	50674705	50675047	343	+	intron	SHANK3
chr22	50675252	50676621	1370	+	intron	SHANK3
chr22	50676694	50678584	1891	+	intron	SHANK3
chr22	50678694	50678768	75	+	intron	SHANK3
chr22	50678921	50679018	98	+	intron	SHANK3
chr22	50679187	50679311	125	+	intron	SHANK3
chr22	50679429	50683339	3911	+	intron	SHANK3
chr22	50683418	50684584	1167	+	intron	SHANK3
chr22	50684652	50694774	10123	+	intron	SHANK3
chr22	50695049	50697563	2515	+	intron	SHANK3
chr22	50697716	50698689	974	+	intron	SHANK3
chr22	50698804	50703859	5056	+	intron	SHANK3
chr22	50703936	50704165	230	+	intron	SHANK3
chr22	50704249	50704737	489	+	intron	SHANK3
chr22	50704863	50704963	101	+	intron	SHANK3
chr22	50705097	50705495	399	+	intron	SHANK3
chr22	50706153	50711614	5462	+	intron	SHANK3
chr22	50711639	50714916	3278	+	intron	SHANK3
chr22	50715048	50715668	621	+	intron	SHANK3
chr22	50715754	50720183	4430	+	intron	SHANK3
chr22	50722438	50724126	1689	+	intron	SHANK3
chr22	50724154	50729571	5418	+	intron	SHANK3
chr22	50729708	50730720	1013	+	intron	SHANK3
